lat:39.077389 lng:17.107161
lat:39.078239 lng:17.120724
lat:38.9617 lng:17.096109
lat:39.078468 lng:17.130983
lat:39.079887 lng:17.133244
lat:39.072449 lng:17.129419
lat:39.080948 lng:17.134382
lat:39.055061 lng:17.137274
lat:39.069607 lng:17.130377
lat:43.682011 lng:10.51824
lat:43.681557 lng:10.521844
lat:43.689159 lng:10.490332
lat:45.058273 lng:9.43415
lat:45.058506 lng:9.43743
lat:40.693062 lng:14.480858
lat:40.68935 lng:14.48109
lat:40.691235 lng:14.488806
lat:40.689987 lng:14.480762
lat:40.690395 lng:14.517745
lat:40.685379 lng:14.48031
lat:37.299534 lng:13.457516
lat:38.828545 lng:16.625834
lat:38.831135 lng:16.608686
lat:38.914951 lng:16.588932
lat:38.913017 lng:16.57081
lat:38.903946 lng:16.590832
lat:38.897167 lng:16.58522
lat:38.927792 lng:16.56308
lat:38.826168 lng:16.60936
lat:38.8442 lng:16.614042
lat:38.927792 lng:16.56308
lat:38.824493 lng:16.604868
lat:38.830685 lng:16.632404
lat:38.840122 lng:16.613331
lat:38.928074 lng:16.562983
lat:38.915173 lng:16.568357
lat:38.845669 lng:16.608047
lat:44.3689 lng:7.532407
lat:44.39571 lng:7.519222
lat:44.408665 lng:7.549876
lat:44.37746 lng:7.53983
lat:44.392471 lng:7.546879
lat:44.401245 lng:7.53156
lat:44.387093 lng:7.538017
lat:44.38829 lng:7.542038
lat:44.391243 lng:7.565992
lat:44.368053 lng:7.525276
lat:44.421925 lng:7.55162
lat:44.390858 lng:7.56277
lat:44.399956 lng:7.569036
lat:44.389877 lng:7.561583
lat:45.479679 lng:10.53797
lat:45.46917 lng:10.527798
lat:45.471588 lng:10.532925
lat:45.467018 lng:10.541621
lat:45.471581 lng:10.532712
lat:45.47039 lng:10.539459
lat:45.477131 lng:10.532393
lat:45.467995 lng:10.533028
lat:45.353207 lng:12.100932
lat:43.719189 lng:10.948999
lat:43.721573 lng:10.947937
lat:43.682758 lng:10.942889
lat:43.712364 lng:10.952534
lat:43.721786 lng:10.950935
lat:37.554852 lng:14.296595
lat:37.569279 lng:14.274633
lat:37.551197 lng:14.301312
lat:43.334881 lng:12.911625
lat:43.317589 lng:12.927103
lat:43.335255 lng:12.909895
lat:43.343506 lng:12.896624
lat:43.336796 lng:12.916756
lat:43.341217 lng:12.913499
lat:43.337456 lng:12.902669
lat:43.335491 lng:12.911109
lat:43.340145 lng:12.910845
lat:43.339333 lng:12.900993
lat:43.351562 lng:12.930309
lat:43.337276 lng:12.910692
lat:43.348877 lng:12.912709
lat:43.345253 lng:12.905987
