lat:37.477066 lng:14.054997
lat:37.496468 lng:14.051533
lat:37.486496 lng:14.05916
lat:37.492516 lng:14.040096
lat:37.496796 lng:14.048182
lat:37.497101 lng:14.055778
lat:45.967987 lng:12.976472
lat:45.946968 lng:12.972088
lat:45.806252 lng:9.07839
lat:45.780365 lng:9.093361
lat:45.834175 lng:9.04583
lat:45.781624 lng:9.083413
lat:45.831017 lng:9.03707
lat:45.887833 lng:12.301954
lat:44.891979 lng:11.823436
lat:44.895351 lng:11.82627
lat:44.894745 lng:11.818408
lat:44.895985 lng:11.824031
lat:44.921944 lng:11.872218
lat:39.298199 lng:16.2572
lat:39.291805 lng:16.26466
lat:39.343231 lng:16.242264
lat:39.298458 lng:16.249435
lat:39.355824 lng:16.241817
lat:39.289364 lng:16.259535
lat:39.293602 lng:16.255592
lat:39.348236 lng:16.187855
lat:39.358318 lng:16.242096
lat:39.373531 lng:16.23752
lat:39.298176 lng:16.252073
lat:39.323067 lng:16.185448
lat:39.316788 lng:16.256458
lat:39.310558 lng:16.236649
lat:45.367287 lng:9.68363
lat:45.366783 lng:9.707113
lat:45.363052 lng:9.675469
lat:45.3559 lng:9.65162
lat:45.356026 lng:9.651442
lat:45.355965 lng:9.651492
lat:38.130047 lng:13.182328
lat:38.129025 lng:13.181714
lat:38.131447 lng:13.179737
lat:40.972988 lng:14.322868
lat:40.964584 lng:14.298502
lat:45.148045 lng:10.032514
lat:45.134075 lng:10.03305
lat:45.162983 lng:10.024226
lat:45.169258 lng:10.026595
lat:45.163754 lng:10.026632
lat:45.145077 lng:10.035274
lat:45.134842 lng:10.049499
lat:45.131973 lng:10.024908
lat:45.141792 lng:10.011346
lat:39.078239 lng:17.120724
lat:38.9617 lng:17.096109
lat:39.078468 lng:17.130983
lat:39.079887 lng:17.133244
lat:39.072449 lng:17.129419
lat:39.080948 lng:17.134382
lat:39.055061 lng:17.137274
lat:39.069607 lng:17.130377
lat:39.075867 lng:17.130032
lat:39.074074 lng:17.128187
lat:38.920116 lng:17.033537
lat:39.068588 lng:17.129145
lat:39.068535 lng:17.130142
lat:43.681557 lng:10.521844
lat:43.689159 lng:10.490332
lat:45.058506 lng:9.43743
lat:40.68935 lng:14.48109
lat:40.691235 lng:14.488806
lat:40.689987 lng:14.480762
lat:40.690395 lng:14.517745
lat:40.685379 lng:14.48031
lat:40.688423 lng:14.487018
lat:40.7076 lng:14.502833
lat:37.299534 lng:13.457516
lat:38.903946 lng:16.590832
lat:38.897167 lng:16.58522
lat:38.927792 lng:16.56308
lat:38.826168 lng:16.60936
lat:38.8442 lng:16.614042
lat:38.927792 lng:16.56308
lat:38.824493 lng:16.604868
lat:38.830685 lng:16.632404
lat:38.840122 lng:16.613331
lat:38.928074 lng:16.562983
lat:38.915173 lng:16.568357
lat:38.845669 lng:16.608047
lat:38.900429 lng:16.597916
lat:38.820194 lng:16.613243
lat:38.857086 lng:16.610926
lat:38.923042 lng:16.55859
lat:44.37746 lng:7.53983
lat:44.392471 lng:7.546879
lat:44.401245 lng:7.53156
lat:44.387093 lng:7.538017
lat:44.38829 lng:7.542038
lat:44.391243 lng:7.565992
lat:44.368053 lng:7.525276
lat:44.421925 lng:7.55162
lat:44.390858 lng:7.56277
lat:44.399956 lng:7.569036
lat:44.389877 lng:7.561583
lat:44.383858 lng:7.546959
lat:45.471581 lng:10.532712
lat:45.47039 lng:10.539459
lat:45.477131 lng:10.532393
lat:45.467995 lng:10.533028
lat:45.353207 lng:12.100932
lat:43.721573 lng:10.947937
lat:43.682758 lng:10.942889
lat:43.712364 lng:10.952534
lat:43.721786 lng:10.950935
lat:37.569279 lng:14.274633
lat:37.551197 lng:14.301312
lat:37.548103 lng:14.299528
lat:37.552101 lng:14.297459
lat:37.566853 lng:14.277227
lat:37.554298 lng:14.30551
lat:37.568054 lng:14.275581
lat:43.340145 lng:12.910845
lat:43.339333 lng:12.900993
lat:43.351562 lng:12.930309
lat:43.337276 lng:12.910692
lat:43.348877 lng:12.912709
lat:43.345253 lng:12.905987
lat:43.337154 lng:12.901347
lat:43.33395 lng:12.90744
lat:44.292801 lng:11.889471
lat:44.286709 lng:11.884901
lat:44.289211 lng:11.876994
lat:44.29916 lng:11.862164
lat:44.280197 lng:11.89357
lat:44.281776 lng:11.872473
lat:44.281773 lng:11.882296
lat:44.292072 lng:11.876305
lat:44.301731 lng:11.892185
lat:43.793423 lng:13.003695
lat:43.798988 lng:13.011636
lat:43.177288 lng:13.669006
lat:43.165897 lng:13.704937
lat:43.159927 lng:13.710047
lat:44.829971 lng:11.626892
lat:44.8582 lng:11.600989
lat:44.814133 lng:11.597653
lat:44.82391 lng:11.621843
lat:44.806992 lng:11.587073
lat:44.822502 lng:11.637436
lat:44.806065 lng:11.741389
lat:44.878742 lng:11.599729
lat:44.826149 lng:11.641383
lat:44.767696 lng:11.479112
lat:44.851513 lng:11.615599
lat:44.762852 lng:11.485091
lat:44.763149 lng:11.483507
lat:44.848724 lng:11.601035
lat:44.765442 lng:11.484237
lat:44.765434 lng:11.489492
lat:44.765434 lng:11.489487
lat:44.761475 lng:11.482145
lat:44.735035 lng:11.555169
lat:44.830479 lng:11.63594
lat:44.929165 lng:9.908774
lat:44.929428 lng:9.91085
lat:44.925144 lng:9.907946
lat:44.934177 lng:9.903411
lat:44.92709 lng:9.912618
lat:44.921371 lng:9.917843
lat:37.086559 lng:15.14699
lat:37.088699 lng:15.151372
lat:37.081905 lng:15.160817
lat:37.085758 lng:15.156742
lat:37.086037 lng:15.156878
lat:41.465343 lng:15.544813
lat:41.448196 lng:15.535556
lat:41.454048 lng:15.536688
lat:41.459728 lng:15.553109
lat:41.464653 lng:15.55183
lat:41.459751 lng:15.549558
lat:41.457985 lng:15.551441
lat:42.959023 lng:12.702355
lat:42.957809 lng:12.714966
lat:43.0187 lng:12.778585
lat:42.914482 lng:10.772875
lat:42.913513 lng:10.774398
lat:42.929005 lng:10.769632
lat:42.934177 lng:10.77486
lat:42.928078 lng:10.758061
lat:42.915859 lng:10.770148
lat:42.919376 lng:10.765802
lat:41.303955 lng:13.309737
lat:41.30061 lng:13.337274
lat:44.209885 lng:12.042497
lat:44.227413 lng:12.030138
lat:44.229195 lng:12.053445
lat:44.218918 lng:12.040568
lat:44.232742 lng:12.009714
lat:44.227558 lng:12.050199
lat:44.217236 lng:12.059606
lat:43.769066 lng:11.133505
lat:43.771477 lng:11.159354
lat:43.765568 lng:11.164823
lat:43.836254 lng:11.192492
lat:43.832493 lng:11.198379
lat:43.769886 lng:11.15153
lat:43.83577 lng:11.202998
lat:43.834915 lng:11.199556
lat:43.766125 lng:11.187617
lat:43.829277 lng:11.197609
lat:43.836685 lng:11.182631
lat:43.765797 lng:11.174121
lat:43.770809 lng:11.160932
lat:43.764141 lng:11.179824
